lambda , cervene         , modre           , tm_cervene      , zelene         , zlute
924    , 0.0490557620091 , 0.25293656512   , 0.036613286883  , 1.16341704052  , 0.0475140546391
926    , 0.0493694290261 , 0.251694415918  , 0.0368158247326 , 1.16048170046  , 0.0498966015429
928    , 0.0497319279855 , 0.250953509872  , 0.0384888885845 , 1.15447554902  , 0.0499409757063
930    , 0.0465656807172 , 0.243404673486  , 0.0346747686272 , 1.1375874235   , 0.0484931304253
932    , 0.0489969880476 , 0.244140862883  , 0.0383049481801 , 1.14451630714  , 0.0495594141869
934    , 0.0485822188849 , 0.242467086494  , 0.0389446196705 , 1.1383883539   , 0.0505071767961
936    , 0.0471538216126 , 0.240971342798  , 0.0376424201625 , 1.14899716421  , 0.0487562927313
938    , 0.0501433298636 , 0.241976671166  , 0.0369177044632 , 1.15075229908  , 0.0495830563326
940    , 0.0496323142138 , 0.239966566083  , 0.0383833639555 , 1.15680460281  , 0.0508946709645
942    , 0.051025880431  , 0.242144376477  , 0.03809419575   , 1.14789691524  , 0.0494834585406
944    , 0.0501205451588 , 0.23922825481   , 0.0376869012374 , 1.12673308388  , 0.0493043135073
946    , 0.0518247794563 , 0.238709246229  , 0.0395905473025 , 1.13401112215  , 0.0499335386398
948    , 0.0510463487774 , 0.237576636527  , 0.0414102158061 , 1.12595299176  , 0.0493235964964
950    , 0.0526764457478 , 0.236910432253  , 0.0397657833835 , 1.12979249663  , 0.0491547975602
